weekend_id,airbnb_weekend_price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_centre_dist,metro_dist,lng,lat
paris170,1112.1726162736509,Entire home/apt,False,4.0,9.0,95.0,1,1.0384645016248766,0.3667155186406746,2.33863,48.85586
paris171,339.50041942399105,Entire home/apt,False,2.0,8.0,71.0,0,0.883264828358758,0.1848011394646581,2.357,48.864
paris172,339.50041942399105,Entire home/apt,False,2.0,8.0,73.0,0,0.8832579334944693,0.1848025408168789,2.357,48.864
paris173,699.7390250722342,Entire home/apt,False,4.0,10.0,99.0,2,2.2123645998961163,0.0737634177899666,2.34045,48.87474
paris174,333.2090595582067,Entire home/apt,False,4.0,9.0,93.0,1,2.7766272526878004,0.209456481470753,2.32527,48.87375
paris175,373.98639202162366,Entire home/apt,False,2.0,10.0,76.0,0,2.67826270510784,0.0883802628746731,2.32692,48.8736
paris176,373.98639202162366,Entire home/apt,False,2.0,6.0,50.0,0,2.5530684954671594,0.1872773024442633,2.3267900000000004,48.87187
paris177,489.7940162177277,Entire home/apt,False,4.0,8.0,85.0,1,1.2742766401211492,0.1916405400790093,2.354,48.868
paris178,339.50041942399105,Entire home/apt,False,2.0,8.0,60.0,0,0.8407758958753727,0.2027848858376489,2.35638,48.86374
paris179,420.3560443657377,Entire home/apt,False,2.0,7.0,75.0,1,0.3941027576991526,0.3817833383467989,2.35766,48.858
paris180,875.6640879858328,Entire home/apt,False,6.0,10.0,100.0,3,4.09986640724036,0.1048577096206455,2.31179,48.88167
paris181,339.50041942399105,Entire home/apt,False,4.0,9.0,89.0,1,0.8294220265729418,0.3015744242550132,2.3580400000000004,48.86316
paris182,324.35455308043623,Entire home/apt,False,2.0,10.0,99.0,1,1.1956589437519034,0.0421244933576548,2.36055,48.86601
paris183,754.0311305806692,Entire home/apt,False,3.0,10.0,95.0,0,1.7803172931492597,0.3962481744287692,2.3287,48.85874
paris184,277.9849007363221,Private room,False,2.0,10.0,80.0,1,2.49748557530146,0.1482855902947069,2.3280000000000003,48.872
paris185,370.7242054245503,Entire home/apt,False,4.0,9.0,88.0,1,0.9117626062193828,0.2215745608799743,2.358,48.864
paris186,300.3541802591108,Entire home/apt,False,2.0,9.0,91.0,0,0.5894092327549344,0.2180465893481499,2.35038,48.8515
